id,period,amount,game,status,time
1805,2022070110172,0,wingo,1,1665048720429
1806,2022070110173,1,wingo,1,1665048780505
1807,2022070110058,9,wingo3,1,1665048780506
1808,2022070110174,1,wingo,1,1665048840572
1809,2022070110036,7,wingo5,1,1665048900644
1810,2022070110175,6,wingo,1,1665048900643
1811,2022070110176,0,wingo,1,1665048960712
1812,2022070110059,6,wingo3,1,1665048960713
1813,2022070110177,3,wingo,1,1665049020781
1814,2022070110178,5,wingo,1,1665049080843
1815,2022070110179,9,wingo,1,1665049140915
1816,2022070110060,1,wingo3,1,1665049140916
1817,2022070110180,5,wingo,1,1665049201003
1818,2022070110019,7,wingo10,1,1665049201003
1819,2022070110037,3,wingo5,1,1665049201009
1820,2022070110181,8,wingo,1,1665049260066
1821,2022070110182,7,wingo,1,1665049320146
1822,2022070110061,0,wingo3,1,1665049320147
1823,2022070110183,3,wingo,1,1665049380216
1824,2022070110184,8,wingo,1,1665049440288
1825,2022070110185,9,wingo,1,1665049500358
1826,2022070110038,6,wingo5,1,1665049500361
1827,2022070110062,2,wingo3,1,1665049500361
1828,2022070110186,4,wingo,1,1665049560427
1829,2022070110187,1,wingo,1,1665049620502
1830,2022070110188,8,wingo,1,1665049680574
1831,2022070110063,3,wingo3,1,1665049680576
1832,2022070110189,0,wingo,1,1665049740655
1833,2022070110039,2,wingo5,1,1665049800740
1834,2022070110020,5,wingo10,1,1665049800738
1835,2022070110190,5,wingo,1,1665049800739
1836,2022070110191,7,wingo,1,1665049860812
1837,2022070110064,4,wingo3,1,1665049860813
1838,2022070110192,6,wingo,1,1665049920891
1839,2022070110193,8,wingo,1,1665049980962
1840,2022070110194,4,wingo,1,1665050040037
1841,2022070110065,6,wingo3,1,1665050040038
1842,2022070110195,8,wingo,1,1665050100103
1843,2022070110040,4,wingo5,1,1665050100104
1844,2022070110196,6,wingo,1,1665050160169
1845,2022070110197,0,wingo,1,1665050220246
1846,2022070110066,2,wingo3,1,1665050220247
1847,2022070110198,0,wingo,1,1665050280319
1848,2022070110199,4,wingo,1,1665050340394
1849,2022070110041,6,wingo5,1,1665050400483
1850,2022070110200,7,wingo,1,1665050400487
1851,2022070110067,4,wingo3,1,1665050400481
1852,2022070110021,9,wingo10,1,1665050400486
1853,2022070110201,8,wingo,1,1665050460551
1854,2022070110202,4,wingo,1,1665050520636
1855,2022070110203,7,wingo,1,1665050580714
1856,2022070110068,2,wingo3,1,1665050580715
1857,2022070110204,7,wingo,1,1665050640795
1858,2022070110205,8,wingo,1,1665050700871
1859,2022070110042,0,wingo5,1,1665050700872
1860,2022070110206,3,wingo,1,1665050760955
1861,2022070110069,4,wingo3,1,1665050760956
1862,2022070110207,9,wingo,1,1665050820030
1863,2022070110208,4,wingo,1,1665050880110
1864,2022070110209,1,wingo,1,1665050940190
1865,2022070110070,1,wingo3,1,1665050940192
1866,2022070110043,9,wingo5,1,1665051000269
1867,2022070110022,7,wingo10,1,1665051000267
1868,2022070110210,2,wingo,1,1665051000268
1869,2022070110211,1,wingo,1,1665051060334
1870,2022070110212,9,wingo,1,1665051120409
1871,2022070110071,1,wingo3,1,1665051120410
1872,2022070110213,6,wingo,1,1665051180487
1873,2022070110214,7,wingo,1,1665051240561
1874,2022070110072,8,wingo3,1,1665051300639
1875,2022070110044,1,wingo5,1,1665051300637
1876,2022070110215,7,wingo,1,1665051300638
1877,2022070110216,7,wingo,1,1665051360715
1878,2022070110217,3,wingo,1,1665051420797
1879,2022070110218,7,wingo,1,1665051480874
1880,2022070110073,1,wingo3,1,1665051480874
1881,2022070110219,2,wingo,1,1665051540948
1882,2022070110045,4,wingo5,1,1665051600026
1883,2022070110220,8,wingo,1,1665051600025
1884,2022070110023,6,wingo10,1,1665051600024
1885,2022070110221,8,wingo,1,1665051660093
1886,2022070110074,7,wingo3,1,1665051660094
1887,2022070110222,5,wingo,1,1665051720166
1888,2022070110223,3,wingo,1,1665051780242
1889,2022070110224,7,wingo,1,1665051840319
1890,2022070110075,0,wingo3,1,1665051840320
1891,2022070110225,7,wingo,1,1665051900395
1892,2022070110046,6,wingo5,1,1665051900396
1893,2022070110226,7,wingo,1,1665051960472
1894,2022070110227,3,wingo,1,1665052020550
1895,2022070110076,0,wingo3,1,1665052020551
1896,2022070110228,7,wingo,1,1665052080633
1897,2022070110229,9,wingo,1,1665052140709
1898,2022070110047,4,wingo5,1,1665052200788
1899,2022070110024,9,wingo10,1,1665052200789
1900,2022070110230,5,wingo,1,1665052200791
1901,2022070110077,9,wingo3,1,1665052200786
1902,2022070110231,9,wingo,1,1665052260860
1903,2022070110232,2,wingo,1,1665052320936
1904,2022070110233,7,wingo,1,1665052380010
1905,2022070110078,8,wingo3,1,1665052380011
1906,2022070110234,7,wingo,1,1665052440081
1907,2022070110235,1,wingo,1,1665052500157
1908,2022070110048,1,wingo5,1,1665052500158
1909,2022070110236,9,wingo,1,1665052560238
1910,2022070110079,1,wingo3,1,1665052560239
1911,2022070110237,0,wingo,1,1665052620321
1912,2022070110238,5,wingo,1,1665052680402
1913,2022070110080,9,wingo3,1,1665052740477
1914,2022070110239,2,wingo,1,1665052740478
1915,2022070110049,4,wingo5,1,1665052800577
1916,2022070110025,8,wingo10,1,1665052800572
1917,2022070110240,4,wingo,1,1665052800575
1918,2022070110241,1,wingo,1,1665052860644
1919,2022070110242,3,wingo,1,1665052920722
1920,2022070110081,1,wingo3,1,1665052920723
1921,2022070110243,0,wingo,1,1665052980796
1922,2022070110244,5,wingo,1,1665053040868
1923,2022070110082,9,wingo3,1,1665053100935
1924,2022070110050,7,wingo5,1,1665053100932
1925,2022070110245,0,wingo,1,1665053100933
1926,2022070110246,5,wingo,1,1665053160006
1927,2022070110247,6,wingo,1,1665053220089
1928,2022070110248,1,wingo,1,1665053280172
1929,2022070110083,6,wingo3,1,1665053280173
1930,2022070110249,5,wingo,1,1665053340246
1931,2022070110051,7,wingo5,1,1665053400330
1932,2022070110250,7,wingo,1,1665053400329
1933,2022070110026,4,wingo10,1,1665053400327
1934,2022070110251,2,wingo,1,1665053460401
1935,2022070110084,0,wingo3,1,1665053460402
1936,2022070110252,9,wingo,1,1665053520476
1937,2022070110253,2,wingo,1,1665053580555
1938,2022070110254,5,wingo,1,1665053640632
1939,2022070110085,2,wingo3,1,1665053640633
1940,2022070110255,8,wingo,1,1665053700714
1941,2022070110052,9,wingo5,1,1665053700716
1942,2022070110256,1,wingo,1,1665053760790
1943,2022070110257,5,wingo,1,1665053820866
1944,2022070110086,5,wingo3,1,1665053820867
1945,2022070110258,8,wingo,1,1665053880943
1946,2022070110259,5,wingo,1,1665053940016
1947,2022070110053,2,wingo5,1,1665054000111
1948,2022070110027,2,wingo10,1,1665054000112
1949,2022070110260,4,wingo,1,1665054000113
1950,2022070110087,8,wingo3,1,1665054000109
1951,2022070110261,8,wingo,1,1665054060186
1952,2022070110262,3,wingo,1,1665054120262
1953,2022070110263,4,wingo,1,1665054180339
1954,2022070110088,3,wingo3,1,1665054180341
1955,2022070110264,8,wingo,1,1665054240418
1956,2022070110265,6,wingo,1,1665054300498
1957,2022070110054,9,wingo5,1,1665054300499
1958,2022070110266,7,wingo,1,1665054360574
1959,2022070110089,1,wingo3,1,1665054360574
1960,2022070110267,3,wingo,1,1665054420648
1961,2022070110268,3,wingo,1,1665054480729
1962,2022070110269,7,wingo,1,1665054540806
1963,2022070110090,5,wingo3,1,1665054540807
1964,2022070110055,3,wingo5,1,1665054600893
1965,2022070110028,8,wingo10,1,1665054600892
1966,2022070110270,0,wingo,1,1665054600892
1967,2022070110271,1,wingo,1,1665054660969
1968,2022070110272,0,wingo,1,1665054720044
1969,2022070110091,8,wingo3,1,1665054720045
1970,2022070110273,9,wingo,1,1665054780117
1971,2022070110274,6,wingo,1,1665054840196
1972,2022070110092,3,wingo3,1,1665054900275
1973,2022070110056,0,wingo5,1,1665054900273
1974,2022070110275,6,wingo,1,1665054900274
1975,2022070110276,0,wingo,1,1665054960347
1976,2022070110277,9,wingo,1,1665055020425
1977,2022070110278,3,wingo,1,1665055080500
1978,2022070110093,5,wingo3,1,1665055080501
1979,2022070110279,1,wingo,1,1665055140579
1980,2022070110057,3,wingo5,1,1665055200654
1981,2022070110029,3,wingo10,1,1665055200651
1982,2022070110280,8,wingo,1,1665055200653
1983,2022070110281,9,wingo,1,1665055260724
1984,2022070110094,5,wingo3,1,1665055260725
1985,2022070110282,1,wingo,1,1665055320800
1986,2022070110283,5,wingo,1,1665055380881
1987,2022070110284,1,wingo,1,1665055440964
1988,2022070110095,4,wingo3,1,1665055440965
1989,2022070110285,0,wingo,1,1665055500044
1990,2022070110058,7,wingo5,1,1665055500045
1991,2022070110286,7,wingo,1,1665055560117
1992,2022070110287,3,wingo,1,1665055620190
1993,2022070110096,2,wingo3,1,1665055620191
1994,2022070110288,7,wingo,1,1665055680262
1995,2022070110289,6,wingo,1,1665055740337
1996,2022070110059,8,wingo5,1,1665055800424
1997,2022070110030,3,wingo10,1,1665055800425
1998,2022070110290,7,wingo,1,1665055800425
1999,2022070110097,5,wingo3,1,1665055800423
2000,2022070110291,9,wingo,1,1665055860497
2001,2022070110292,7,wingo,1,1665055920570
2002,2022070110293,9,wingo,1,1665055980646
2003,2022070110098,6,wingo3,1,1665055980647
2004,2022070110294,1,wingo,1,1665056040720
2005,2022070110295,1,wingo,1,1665056100818
2006,2022070110060,2,wingo5,1,1665056100820
2007,2022070110296,3,wingo,1,1665056160890
2008,2022070110099,4,wingo3,1,1665056160891
2009,2022070110297,5,wingo,1,1665056220963
2010,2022070110298,8,wingo,1,1665056280044
2011,2022070110299,1,wingo,1,1665056340124
2012,2022070110100,0,wingo3,1,1665056340125
2013,2022070110061,3,wingo5,1,1665056400201
2014,2022070110031,3,wingo10,1,1665056400199
2015,2022070110300,6,wingo,1,1665056400200
2016,2022070110301,1,wingo,1,1665056460272
2017,2022070110302,7,wingo,1,1665056520351
2018,2022070110101,8,wingo3,1,1665056520352
2019,2022070110303,3,wingo,1,1665056580428
2020,2022070110304,9,wingo,1,1665056640511
2021,2022070110102,2,wingo3,1,1665056700593
2022,2022070110062,1,wingo5,1,1665056700590
2023,2022070110305,8,wingo,1,1665056700592
2024,2022070110306,6,wingo,1,1665056760660
2025,2022070110307,1,wingo,1,1665056820738
2026,2022070110308,3,wingo,1,1665056880812
2027,2022070110103,3,wingo3,1,1665056880813
2028,2022070110309,2,wingo,1,1665056940893
2029,2022070110063,6,wingo5,1,1665057000965
2030,2022070110032,0,wingo10,1,1665057000964
2031,2022070110310,5,wingo,1,1665057000965
2032,2022070110311,1,wingo,1,1665057060040
2033,2022070110104,5,wingo3,1,1665057060041
2034,2022070110312,8,wingo,1,1665057120112
2035,2022070110313,2,wingo,1,1665057180185
2036,2022070110314,8,wingo,1,1665057240264
2037,2022070110105,3,wingo3,1,1665057240266
2038,2022070110315,4,wingo,1,1665057300336
2039,2022070110064,9,wingo5,1,1665057300337
2040,2022070110316,3,wingo,1,1665057360417
2041,2022070110317,1,wingo,1,1665057420499
2042,2022070110106,0,wingo3,1,1665057420500
2043,2022070110318,2,wingo,1,1665057480575
2044,2022070110319,7,wingo,1,1665057540664
2045,2022070110065,1,wingo5,1,1665057600745
2046,2022070110033,2,wingo10,1,1665057600746
2047,2022070110320,4,wingo,1,1665057600747
2048,2022070110107,0,wingo3,1,1665057600744
2049,2022070110321,0,wingo,1,1665057660819
2050,2022070110322,5,wingo,1,1665057720896
2051,2022070110323,2,wingo,1,1665057780976
2052,2022070110108,5,wingo3,1,1665057780977
2053,2022070110324,4,wingo,1,1665057840051
2054,2022070110325,9,wingo,1,1665057900130
2055,2022070110066,8,wingo5,1,1665057900130
2056,2022070110326,9,wingo,1,1665057960203
2057,2022070110109,7,wingo3,1,1665057960204
2058,2022070110327,0,wingo,1,1665058020278
2059,2022070110328,6,wingo,1,1665058080356
2060,2022070110329,9,wingo,1,1665058140430
2061,2022070110110,2,wingo3,1,1665058140431
2062,2022070110067,0,wingo5,1,1665058200507
2063,2022070110034,8,wingo10,1,1665058200508
2064,2022070110330,5,wingo,1,1665058200510
2065,2022070110331,6,wingo,1,1665058260588
2066,2022070110332,0,wingo,1,1665058320665
2067,2022070110111,9,wingo3,1,1665058320667
2068,2022070110333,5,wingo,1,1665058380736
2069,2022070110334,7,wingo,1,1665058440814
2070,2022070110335,6,wingo,1,1665058500895
2071,2022070110112,4,wingo3,1,1665058500896
2072,2022070110068,2,wingo5,1,1665058500894
2073,2022070110336,5,wingo,1,1665058560970
2074,2022070110337,3,wingo,1,1665058620051
2075,2022070110338,6,wingo,1,1665058680127
2076,2022070110113,2,wingo3,1,1665058680128
2077,2022070110339,3,wingo,1,1665058740206
2078,2022070110069,3,wingo5,1,1665058800287
2079,2022070110035,8,wingo10,1,1665058800285
2080,2022070110340,5,wingo,1,1665058800286
2081,2022070110341,6,wingo,1,1665058860360
2082,2022070110114,6,wingo3,1,1665058860362
2083,2022070110342,4,wingo,1,1665058920435
2084,2022070110343,9,wingo,1,1665058980512
2085,2022070110344,9,wingo,1,1665059040588
2086,2022070110115,6,wingo3,1,1665059040589
2087,2022070110345,1,wingo,1,1665059100666
2088,2022070110070,9,wingo5,1,1665059100667
2089,2022070110346,1,wingo,1,1665059160740
2090,2022070110347,4,wingo,1,1665059220815
2091,2022070110116,1,wingo3,1,1665059220816
2092,2022070110348,3,wingo,1,1665059280891
2093,2022070110349,9,wingo,1,1665059340964
2094,2022070110071,5,wingo5,1,1665059400047
2095,2022070110036,5,wingo10,1,1665059400048
2096,2022070110350,3,wingo,1,1665059400051
2097,2022070110117,2,wingo3,1,1665059400045
2098,2022070110351,0,wingo,1,1665059460122
2099,2022070110352,7,wingo,1,1665059520201
2100,2022070110353,3,wingo,1,1665059580284
2101,2022070110118,9,wingo3,1,1665059580285
2102,2022070110354,1,wingo,1,1665059640356
2103,2022070110355,4,wingo,1,1665059700436
2104,2022070110072,2,wingo5,1,1665059700437
2105,2022070110356,5,wingo,1,1665059760511
2106,2022070110119,2,wingo3,1,1665059760513
2107,2022070110357,7,wingo,1,1665059820581
2108,2022070110358,9,wingo,1,1665059880656
2109,2022070110359,8,wingo,1,1665059940735
2110,2022070110120,6,wingo3,1,1665059940736
2111,2022070110073,2,wingo5,1,1665060000814
2112,2022070110037,2,wingo10,1,1665060000811
2113,2022070110360,4,wingo,1,1665060000813
2114,2022070110361,9,wingo,1,1665060060885
2115,2022070110362,4,wingo,1,1665060120966
2116,2022070110121,5,wingo3,1,1665060120967
